,x,y,z
0,-5,1.632063333,-5
1,-0.5,2.318293463,-4.9
2,-0.05,2.971639608,-4.8
3,-0.005,2.999918105,-4.7
4,-0.0005,2.981240867,-4.6
5,-5.00E-05,2.932621969,-4.5
6,-5.00E-06,2.854810832,-4.4
7,-5.00E-07,2.748498411,-4.3
8,-5.00E-08,2.614727391,-4.2
9,-5.00E-09,2.454831342,-4.1
10,-5.00E-10,2.270407487,-4
11,-5.00E-11,2.063298478,-3.9
12,-5.00E-12,1.835573673,-3.8
13,-5.00E-13,1.589508423,-3.7
14,-5.00E-14,1.32756133,-3.6
15,-5.00E-15,1.052349683,-3.5
16,-5.00E-16,0.766623306,-3.4
17,-5.00E-17,0.473237082,-3.3
18,-5.00E-18,0.17512243,-3.2
19,-5.00E-19,-0.124741987,-3.1
20,-5.00E-20,-0.423360024,-3
21,-5.00E-21,-0.717747988,-2.9
22,-5.00E-22,-1.00496445,-2.8
23,-5.00E-23,-1.282139641,-2.7
24,-5.00E-24,-1.546504115,-2.6
25,-5.00E-25,-1.795416432,-2.5
26,-5.00E-26,-2.026389542,-2.4
27,-5.00E-27,-2.237115637,-2.3
28,-5.00E-28,-2.425489211,-2.2
29,-5.00E-29,-2.5896281,-2.1
30,-5.00E-30,-2.72789228,-2
31,-5.00E-31,-2.838900263,-1.9
32,-5.00E-32,-2.921542893,-1.8
33,-5.00E-33,-2.974994431,-1.7
34,-5.00E-34,-2.998720809,-1.6
35,-5.00E-35,-2.99248496,-1.5
36,-5.00E-36,-2.95634919,-1.4
37,-5.00E-37,-2.890674556,-1.3
38,-5.00E-38,-2.796117258,-1.2
39,-5.00E-39,-2.67362208,-1.1
40,-5.00E-40,-2.524412954,-1
41,-5.00E-41,-2.349980729,-0.9
42,-5.00E-42,-2.152068273,-0.8
43,-5.00E-43,-1.932653062,-0.7
44,-5.00E-44,-1.69392742,-0.6
45,-5.00E-45,-1.438276616,-0.5
46,-5.00E-46,-1.168255027,-0.4
47,-5.00E-47,-0.88656062,-0.3
48,-5.00E-48,-0.596007992,-0.2
49,-5.00E-49,-0.29950025,-0.1
50,-5.00E-50,-1.50E-49,0
51,-5.00E-51,0.29950025,0.1
52,-5.00E-52,0.596007992,0.2
53,-5.00E-53,0.88656062,0.3
54,-5.00E-54,1.168255027,0.4
55,-5.00E-55,1.438276616,0.5
56,-5.00E-56,1.69392742,0.6
57,-5.00E-57,1.932653062,0.7
58,-5.00E-58,2.152068273,0.8
59,-5.00E-59,2.349980729,0.9
60,-5.00E-60,2.524412954,1
61,-5.00E-61,2.67362208,1.1
62,-5.00E-62,2.796117258,1.2
63,-5.00E-63,2.890674556,1.3
64,-5.00E-64,2.95634919,1.4
65,-5.00E-65,2.99248496,1.5
